tag;name;r;g;b;money
SWE;Sweden;8;82;165;100
DAN;Denmark;190;70;70;100
FIN;Finland;182;134;100;100
GOT;Gotland;153;126;0;100
NOR;Norway;117;165;188;100
SHL;Holstein;220;150;158;100
SCA;Scandinavia;62;122;189;100
EST;Estonia;248;125;125;100
LVA;Livonia;20;14;150;100
LTG;Latgalia;78;65;15;100
SMI;Sami;252;209;22;100
KRL;Karelia;244;38;38;100
ICE;Iceland;43;60;117;100
ACH;PrincipalityOfAchaia;255;213;51;100
ALB;Albania;181;0;20;100
ATH;Athens;113;112;96;100
BOS;Bosnia;240;167;130;100
BUL;Bulgaria;116;107;140;100
BYZ;ByzantineEmpire;149;45;102;100
LAE;Latin Empire;255;212;42;100
CEP;Corfu;211;172;185;100
CRO;Croatia;104;94;247;100
CRT;Crete;138;110;130;100
CYP;Cyprus;245;200;30;100
DAL;Dalmatia;46;128;188;100
EPI;Epirus;230;228;214;100
GRE;Greece;9;9;103;100
KNI;Knights;106;127;183;100
MOE;Morea;168;121;129;100
MOL;Moldavia;136;157;23;100
MON;Montenegro;39;108;140;100
NAX;Naxos;24;50;123;100
RAG;Ragusa;160;82;128;100
RMN;Romania;21;96;178;100
SER;Serbia;166;72;57;100
TRA;Transylvania;211;207;173;100
WAL;Wallachia;161;126;128;100
HUN;Hungary;152;85;92;100
SLO;Slovakia;34;131;193;100
TUR;Ottomans;126;203;120;100
CNN;Connacht;193;237;85;100
CRN;Cornwall;155;56;0;100
ENG;England;193;26;14;100
LEI;Leinster;48;164;51;100
IRE;Ireland;112;150;105;100
MNS;IRE_Munster;104;137;140;100
SCO;Scotland;199;175;12;100
TYR;Tyrone;131;101;85;100
WLS;Wales;117;127;174;100
NOL;Northumberland;83;149;105;100
GBR;GreatBritain;153;0;0;100
AVE;AngevinEmpire;110;0;140;100
MTH;Meath;15;128;253;100
ULS;Ulster;234;214;165;100
DMS;Desmond;0;0;0;100
SLN;Sligo;191;155;203;100
KID;Kildare;104;130;172;100
HSC;Highlands;37;113;207;100
ORD;Ormond;220;227;43;100
TRY;Tyrconnell;43;190;227;100
FLY;Faly;237;138;22;100
MCM;MacCarthy;0;0;0;100
KOI;Mann;133;43;27;100
LOI;TheIsles;0;105;104;100
EIC;EastIndiaCompany;212;87;78;100
BRZ;Brazil;129;177;125;100
CAN;Canada;94;117;55;100
CHL;Chile;236;159;89;100
COL;Colombia;89;140;176;100
HAT;Haiti;139;179;207;100
LAP;LaPlata;101;102;163;100
LOU;Louisiana;144;52;53;100
MEX;Mexico;219;124;139;100
PEU;Peru;124;140;162;100
PRG;Paraguay;75;188;60;100
QUE;Quebec;194;140;86;100
CAM;UPCA;204;186;201;100
USA;USA;69;157;208;100
VNZ;Venezuela;213;82;109;100
AUS;Australia;144;60;75;100
CAL;California;245;147;54;100
TEX;Texas;173;22;27;100
CSC;Cascadia;8;90;5;100
ALA;Alaska;185;215;255;100
NZL;Zealandia;152;130;191;100
ILI;Illinois;98;180;208;100
FLO;Florida;240;227;27;100
VRM;Vermont;50;120;10;100
SNA;Sonora;235;135;15;100
WSI;WestIndies;86;195;80;100
CUB;Cuba;140;65;166;100
DNZ;Danzig;78;129;151;100
KRA;Krakow;138;193;231;100
LIT;Lithuania;154;69;116;100
LIV;LivonianOrder;125;30;100;100
MAZ;Mazovia;195;149;155;100
POL;Poland;197;92;106;100
PRU;Prussia;0;49;83;100
KUR;Kurland;99;137;153;100
RIG;Riga;183;176;194;100
TEU;Teutonicorder;102;105;104;100
PLC;TheCommonwealth;176;81;111;100
VOL;Volyn;205;38;38;100
KIE;Kiev;81;123;210;100
CHR;Chernigov;190;190;190;100
OKA;Oka;43;136;207;100
ALE;Alencon;162;116;225;100
ALS;Alsace;246;223;15;100
AMG;Armagnac;187;206;247;100
AUV;Auvergne;218;155;75;100
AVI;Avignon;205;178;107;100
BOU;Bourbonnais;0;140;165;100
BRI;Brittany;118;99;151;100
BUR;Burgundy;148;30;70;100
CHP;Champagne;166;125;154;100
COR;Corsica;106;178;46;100
DAU;Dauphine;93;194;122;100
FOI;Foix;105;106;182;100
FRA;France;20;50;210;100
GUY;Gascony;32;144;204;100
NEV;Nevers;195;104;228;100
NRM;Normandy;131;138;116;100
ORL;Orleans;216;121;139;100
PIC;Picardy;184;184;122;100
PRO;Provence;93;160;163;100
SPI;SardiniaPiedmont;97;209;251;100
TOU;Toulouse;127;170;146;100
BER;Berry;85;65;215;100
AAC;Aachen;157;51;167;100
ANH;Anhalt;203;93;124;100
ANS;Ansbach;130;77;119;100
AUG;Augsburg;20;188;118;100
BAD;Baden;117;161;67;100
BAV;Bavaria;17;116;193;100
BOH;Bohemia;161;139;40;100
BRA;Brandenburg;123;90;90;100
BRE;Bremen;33;101;137;100
BRU;Brunswick;116;92;39;100
EFR;EastFrisia;190;32;16;100
FRN;Frankfurt;243;201;33;100
GER;Germany;75;130;135;100
HAB;Austria;220;220;220;100
HAM;Hamburg;227;95;7;100
HAN;Hannover;164;217;127;100
HES;Hessen;114;171;184;100
HLR;HolyRomanEmpire;150;177;161;100
KLE;Kleves;173;176;113;100
KOL;Cologne;84;124;48;100
LAU;Lauenburg;79;139;99;100
LOR;Lorraine;115;142;205;100
LUN;Luneburg;135;109;147;100
MAG;Magdeburg;189;115;99;100
MAI;Mainz;178;145;87;100
MEI;Meissen;58;174;61;100
MKL;Mecklenburg;55;140;143;100
MUN;Munster;205;103;80;100
MVA;Moravia;232;149;18;100
OLD;Oldenburg;147;130;118;100
PAL;Palatinate;57;151;142;100
POM;Pommerania;61;136;66;100
SAX;Saxony;155;147;180;100
SIL;Silesia;84;166;93;100
SLZ;Salzburg;129;109;9;100
STY;Styria;59;126;59;100
SWI;Schweiz;153;122;108;100
THU;Thuringia;66;126;157;100
