id;territory_type;r;g;b;name;owner
1;land;121;131;193;NONE;NONE
2;land;214;66;27;NONE;BOH
3;land;207;21;45;NONE;NONE
4;land;185;241;225;NONE;TEU
5;land;171;206;5;NONE;GRA
6;land;113;137;132;NONE;KOR
7;land;241;160;175;NONE;NONE
8;land;184;83;60;NONE;TIM
9;land;107;222;246;NONE;NONE
10;land;198;244;67;NONE;POL
11;land;34;32;204;NONE;MNG
12;land;156;64;249;NONE;NONE
13;land;229;221;209;NONE;SWE
14;land;38;212;167;NONE;MNG
15;land;238;177;180;NONE;MNG
16;land;137;145;210;NONE;BOH
17;land;189;216;27;NONE;NONE
18;land;228;102;54;NONE;GOL
19;land;150;107;91;NONE;NONE
20;land;228;71;66;NONE;NONE
21;land;77;199;98;NONE;NONE
22;land;197;93;168;NONE;MNG
23;land;9;177;108;NONE;NONE
24;land;97;84;192;NONE;MOS
25;land;129;41;218;NONE;TIB
26;land;220;125;141;NONE;NONE
27;land;0;178;54;NONE;SCO
28;land;170;218;56;NONE;INC
29;land;239;12;153;NONE;POR
30;land;27;60;193;NONE;SCO
31;land;140;231;126;NONE;NONE
32;land;224;41;219;NONE;NONE
33;land;225;113;97;NONE;NONE
34;land;16;1;30;NONE;NONE
35;land;26;86;211;NONE;NONE
36;land;98;46;108;NONE;AZT
37;land;40;180;161;NONE;NONE
38;land;63;124;82;NONE;CAS
39;land;250;128;59;NONE;HUN
40;land;143;186;5;NONE;SIL
41;land;170;244;212;NONE;MNG
42;land;22;198;167;NONE;TEU
43;land;129;166;102;NONE;NONE
44;land;170;31;209;NONE;TIB
45;land;236;146;187;NONE;JAP
46;land;128;231;56;NONE;NONE
47;land;24;189;139;NONE;TIM
48;land;33;99;127;NONE;NONE
49;land;10;92;218;NONE;NONE
50;land;200;201;182;NONE;NONE
51;land;98;241;239;NONE;NONE
52;land;246;157;65;NONE;NONE
53;land;193;2;173;NONE;NONE
54;land;79;56;77;NONE;NOV
55;land;246;213;186;NONE;NONE
56;land;93;185;101;NONE;NONE
57;land;16;175;209;NONE;NONE
58;land;130;79;145;NONE;NONE
59;land;201;150;190;NONE;NONE
60;land;44;83;100;NONE;NONE
61;land;108;95;192;NONE;POL
62;land;114;155;145;NONE;NONE
63;land;116;143;235;NONE;LIT
64;land;130;241;220;NONE;MNG
65;land;44;12;152;NONE;NONE
66;land;241;236;65;NONE;NONE
67;land;200;106;143;NONE;NONE
68;land;124;123;139;NONE;NONE
69;land;13;148;172;NONE;NONE
70;land;165;97;82;NONE;NONE
71;land;243;64;120;NONE;GEO
72;land;243;214;153;NONE;MNG
73;land;209;126;200;NONE;NONE
74;land;50;228;95;NONE;FRA
75;land;169;54;51;NONE;MNG
76;land;144;206;120;NONE;TUR
77;land;15;201;162;NONE;AZT
78;land;187;107;48;NONE;SER
79;land;27;235;227;NONE;NONE
80;land;232;188;0;NONE;MNG
81;land;14;111;10;NONE;SCO
82;land;183;255;167;NONE;NONE
83;land;191;81;141;NONE;POL
84;land;167;187;44;NONE;MNG
85;land;182;11;238;NONE;EGY
86;land;245;157;47;NONE;AZT
87;land;157;146;4;NONE;NONE
88;land;128;52;240;NONE;DLI
89;land;219;147;64;NONE;NOG
90;land;167;95;24;NONE;NONE
91;land;188;72;91;NONE;NONE
92;land;114;153;245;NONE;NONE
93;land;244;252;160;NONE;NOV
94;land;11;61;249;NONE;TIM
95;land;115;138;14;NONE;EGY
96;land;211;186;208;NONE;NONE
97;land;35;172;24;NONE;GOL
98;land;85;241;188;NONE;NONE
99;land;245;129;193;NONE;NONE
100;land;196;213;31;NONE;CRI
101;land;79;241;178;NONE;NONE
102;land;113;40;138;NONE;PRO
103;land;141;80;19;NONE;NONE
104;land;180;214;87;NONE;NONE
105;land;71;163;253;NONE;MNG
106;land;140;251;110;NONE;TUR
107;land;26;166;233;NONE;NONE
108;land;1;219;244;NONE;POL
109;land;142;139;84;NONE;SAX
110;land;153;238;162;NONE;LIT
111;land;121;39;185;NONE;INC
112;land;49;29;198;NONE;NONE
113;land;73;18;194;NONE;NONE
114;land;41;186;228;NONE;NONE
115;land;160;179;62;NONE;NOR
116;land;60;44;128;NONE;CAS
117;land;33;224;69;NONE;NONE
118;land;100;238;163;NONE;ENG
119;land;109;244;152;NONE;LIV
120;land;83;218;63;NONE;NONE
121;land;69;162;97;NONE;MAL
122;land;221;211;44;NONE;NONE
123;land;3;174;151;NONE;GOL
124;land;225;201;212;NONE;DAN
125;land;115;218;26;NONE;NONE
126;land;77;1;23;NONE;SCO
127;land;130;15;154;NONE;NONE
128;land;181;168;188;NONE;QAR
129;land;142;98;47;NONE;NONE
130;land;185;116;94;NONE;KOR
131;land;119;165;78;NONE;NONE
132;land;219;36;40;NONE;TUN
133;land;133;249;10;NONE;JAP
134;land;200;247;104;NONE;LIT
135;land;122;140;225;NONE;DLI
136;land;252;32;158;NONE;NONE
137;land;125;219;60;NONE;NONE
138;land;164;146;184;NONE;DLI
139;land;113;106;195;NONE;DAN
140;land;160;170;179;NONE;NONE
141;land;100;188;193;NONE;NONE
142;land;4;5;135;NONE;NONE
143;land;236;105;172;NONE;NONE
144;land;80;202;80;NONE;MNG
145;land;134;153;15;NONE;LIT
146;land;224;204;121;NONE;NONE
147;land;14;253;114;NONE;ENG
148;land;24;163;113;NONE;NONE
149;land;79;20;210;NONE;NONE
150;land;133;1;147;NONE;HUN
151;land;186;125;249;NONE;NONE
152;land;175;55;92;NONE;MNG
153;land;178;239;158;NONE;NONE
154;land;77;149;145;NONE;EGY
155;land;29;79;249;NONE;TRI
156;land;249;35;16;NONE;POL
157;land;9;67;215;NONE;NONE
158;land;107;248;15;NONE;HAB
159;land;224;207;111;NONE;MNG
160;land;15;141;101;NONE;DLI
161;land;253;119;154;NONE;LIT
162;land;136;18;228;NONE;TUN
